Listing_Url,Detail_Url,Title,Vehicle_Information,Price,Vehicle_Description,Auction_Date_Time,Actual_Cash_Value,Images_Urls,Video_Url,Images_Names,Video_Name
https://www.iaai.com/Search?url=QcS%2bxh3YwCeDU1vr3fjt1Dj1kxr2PKw62TMD4KYIpIA%3d -> (page_no 1),https://www.iaai.com/VehicleDetail/37688574~US,2021 JEEP COMPASS LATITUDE,"Stock #: 37211184
Selling Branch: Indianapolis (IN)
VIN (Status): 3C4NJDBB0MT****** (OK)
Loss: Other
Primary Damage: Rollover
Secondary Damage: All Over
Title/Sale Doc: SALVAGE (Indiana)
Start Code: Stationary
Key: Missing
Odometer: 1 mi (Inoperable Digital Dash)
Airbags: Deployed",,"VIN (Status):
Vehicle: Automobile
Body Style: WAGON 4 DR.
Engine: 2.4L I4 ZERO EVAP M-AIR W/ESS
Transmission: Automatic Transmission
Drive Line Type: 4X4 Drive
Fuel Type: Gasoline
Cylinders: 4 Cylinders
Restraint System: Driver Air Bag; Passenger Air Bag; Front Head Air Bag; Rear Head Air Bag
Exterior/Interior: Gray/ Unknown
Options: Console Display
Manufactured In: Mexico
Model: COMPASS
Series: LATITUDE","Wed Aug 9, 8:30am (CDT)",,"https://vis.iaai.com/resizer?imageKeys=37688574~SID~B541~S0~I1~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37688574~SID~B541~S0~I2~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37688574~SID~B541~S0~I3~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37688574~SID~B541~S0~I4~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37688574~SID~B541~S0~I5~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37688574~SID~B541~S0~I6~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37688574~SID~B541~S0~I7~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37688574~SID~B541~S0~I8~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37688574~SID~B541~S0~I9~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37688574~SID~B541~S0~I10~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37688574~SID~B541~S0~I115~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37688574~SID~B541~S0~I116~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37688574~SID~B541~S0~I117~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37688574~SID~B541~S0~I118~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37688574~SID~B541~S0~I119~RW2592~H1944~TH0&width=864&height=648",,"2021_JEEP_COMPASS_LATITUDE_1.jpg, 2021_JEEP_COMPASS_LATITUDE_2.jpg, 2021_JEEP_COMPASS_LATITUDE_3.jpg, 2021_JEEP_COMPASS_LATITUDE_4.jpg, 2021_JEEP_COMPASS_LATITUDE_5.jpg, 2021_JEEP_COMPASS_LATITUDE_6.jpg, 2021_JEEP_COMPASS_LATITUDE_7.jpg, 2021_JEEP_COMPASS_LATITUDE_8.jpg, 2021_JEEP_COMPASS_LATITUDE_9.jpg, 2021_JEEP_COMPASS_LATITUDE_10.jpg, 2021_JEEP_COMPASS_LATITUDE_11.jpg, 2021_JEEP_COMPASS_LATITUDE_12.jpg, 2021_JEEP_COMPASS_LATITUDE_13.jpg, 2021_JEEP_COMPASS_LATITUDE_14.jpg, 2021_JEEP_COMPASS_LATITUDE_15.jpg",2021_JEEP_COMPASS_LATITUDE.mp4
https://www.iaai.com/Search?url=QcS%2bxh3YwCeDU1vr3fjt1Dj1kxr2PKw62TMD4KYIpIA%3d -> (page_no 1),https://www.iaai.com/VehicleDetail/37491681~US,2021 CHEVROLET TAHOE Z71,"Stock #: 37015001
Selling Branch: Columbus (OH)
VIN (Status): 1GNSKPKD5MR****** (OK)
Loss: Collision
Primary Damage: Front End
Secondary Damage: Right Side
Title/Sale Doc: SALVAGE (Ohio)
Start Code: Run & Drive
Key: Present
Odometer: 78,340 mi (Actual)
Airbags: Intact
Vehicle Wheels Spare Tire Unknown,Alloy Wheels",,"VIN (Status):
Vehicle: Automobile
Body Style: UTILITY
Engine: 5.3L ECOTEC3 V8 WITH DYNAMIC
Transmission: Automatic Transmission
Drive Line Type: 4X4 Drive
Fuel Type: Gasoline
Cylinders: 8 Cylinders
Restraint System: Driver Air Bag; Passenger Air Bag; Front Side Air Bag; Front Head Air Bag; Rear Head Air Bag
Exterior/Interior: Black/ Black
Options: Radio
Manufactured In: United States
Model: TAHOE
Series: Z71","Wed Aug 9, 8:30am (CDT)","$62,238 USD","https://vis.iaai.com/resizer?imageKeys=37491681~SID~B662~S0~I1~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37491681~SID~B662~S0~I2~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37491681~SID~B662~S0~I3~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37491681~SID~B662~S0~I4~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37491681~SID~B662~S1~I5~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37491681~SID~B662~S0~I6~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37491681~SID~B662~S0~I7~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37491681~SID~B662~S1~I8~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37491681~SID~B662~S0~I9~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37491681~SID~B662~S0~I10~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37491681~SID~B662~S0~I11~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37491681~SID~B662~S0~I13~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37491681~SID~B662~S0~I115~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37491681~SID~B662~S0~I116~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37491681~SID~B662~S0~I117~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37491681~SID~B662~S0~I118~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37491681~SID~B662~S0~I119~RW2592~H1944~TH0&width=864&height=648",https://mediastorageaccountprod.blob.core.windows.net/media/37491681_VES-100_1,"2021_CHEVROLET_TAHOE_Z71_1.jpg, 2021_CHEVROLET_TAHOE_Z71_2.jpg, 2021_CHEVROLET_TAHOE_Z71_3.jpg, 2021_CHEVROLET_TAHOE_Z71_4.jpg, 2021_CHEVROLET_TAHOE_Z71_5.jpg, 2021_CHEVROLET_TAHOE_Z71_6.jpg, 2021_CHEVROLET_TAHOE_Z71_7.jpg, 2021_CHEVROLET_TAHOE_Z71_8.jpg, 2021_CHEVROLET_TAHOE_Z71_9.jpg, 2021_CHEVROLET_TAHOE_Z71_10.jpg, 2021_CHEVROLET_TAHOE_Z71_11.jpg, 2021_CHEVROLET_TAHOE_Z71_12.jpg, 2021_CHEVROLET_TAHOE_Z71_13.jpg, 2021_CHEVROLET_TAHOE_Z71_14.jpg, 2021_CHEVROLET_TAHOE_Z71_15.jpg, 2021_CHEVROLET_TAHOE_Z71_16.jpg, 2021_CHEVROLET_TAHOE_Z71_17.jpg",2021_CHEVROLET_TAHOE_Z71.mp4
https://www.iaai.com/Search?url=QcS%2bxh3YwCeDU1vr3fjt1Dj1kxr2PKw62TMD4KYIpIA%3d -> (page_no 1),https://www.iaai.com/VehicleDetail/37479486~US,2023 CHEVROLET MALIBU LT,"Stock #: 37002812
Selling Branch: Columbus (OH)
VIN (Status): 1G1ZD5ST0PF****** (OK)
Loss: Collision
Primary Damage: Rear
Title/Sale Doc: SALVAGE (Ohio)
Start Code: Run & Drive
Key: Present
Odometer: 785 mi (Actual)
Airbags: Intact",,"VIN (Status):
Vehicle: Automobile
Body Style: SEDAN 4 DR.
Engine: 1.5L TURBO DOHC 4-CYLINDER DI
Transmission: Unknown
Drive Line Type: Front Wheel Drive
Fuel Type: Gasoline
Cylinders: 4 Cylinders
Restraint System: Driver Air Bag; Passenger Air Bag; Front Side Air Bag; Rear Side Air Bag; Front Head Air Bag; Rear Head Air Bag
Exterior/Interior: Blue/ Unknown
Options: Console Display
Manufactured In: United States
Vehicle Class: 4-door Mid-Size Passenger Car
Model: MALIBU
Series: LT","Wed Aug 9, 8:30am (CDT)","$26,539 USD","https://vis.iaai.com/resizer?imageKeys=37479486~SID~B662~S0~I1~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37479486~SID~B662~S0~I2~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37479486~SID~B662~S0~I3~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37479486~SID~B662~S0~I4~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37479486~SID~B662~S0~I5~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37479486~SID~B662~S0~I6~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37479486~SID~B662~S0~I7~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37479486~SID~B662~S0~I8~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37479486~SID~B662~S0~I9~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37479486~SID~B662~S0~I10~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37479486~SID~B662~S0~I11~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37479486~SID~B662~S0~I115~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37479486~SID~B662~S0~I116~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37479486~SID~B662~S0~I117~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37479486~SID~B662~S0~I118~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37479486~SID~B662~S0~I119~RW2592~H1944~TH0&width=864&height=648",https://mediastorageaccountprod.blob.core.windows.net/media/37479486_VES-100_1,"2023_CHEVROLET_MALIBU_LT_1.jpg, 2023_CHEVROLET_MALIBU_LT_2.jpg, 2023_CHEVROLET_MALIBU_LT_3.jpg, 2023_CHEVROLET_MALIBU_LT_4.jpg, 2023_CHEVROLET_MALIBU_LT_5.jpg, 2023_CHEVROLET_MALIBU_LT_6.jpg, 2023_CHEVROLET_MALIBU_LT_7.jpg, 2023_CHEVROLET_MALIBU_LT_8.jpg, 2023_CHEVROLET_MALIBU_LT_9.jpg, 2023_CHEVROLET_MALIBU_LT_10.jpg, 2023_CHEVROLET_MALIBU_LT_11.jpg, 2023_CHEVROLET_MALIBU_LT_12.jpg, 2023_CHEVROLET_MALIBU_LT_13.jpg, 2023_CHEVROLET_MALIBU_LT_14.jpg, 2023_CHEVROLET_MALIBU_LT_15.jpg, 2023_CHEVROLET_MALIBU_LT_16.jpg",2023_CHEVROLET_MALIBU_LT.mp4
https://www.iaai.com/Search?url=QcS%2bxh3YwCeDU1vr3fjt1Dj1kxr2PKw62TMD4KYIpIA%3d -> (page_no 1),https://www.iaai.com/VehicleDetail/37435854~US,2021 KIA FORTE LXS,"Stock #: 36959367
Selling Branch: Columbus (OH)
VIN (Status): 3KPF24AD6ME****** (OK)
Loss: Collision
Primary Damage: Front End
Title/Sale Doc: SALVAGE (Ohio)
Start Code: Stationary
Key: Missing
Odometer: 38,568 mi (Actual)
Airbags: Deployed",,"VIN (Status):
Vehicle: Automobile
Body Style: SEDAN 4 DR.
Engine: 2.0L 4-CYLINDER MPI 16V DOHC
Transmission: Unknown
Drive Line Type: Front Wheel Drive
Fuel Type: Gasoline
Cylinders: 4 Cylinders
Restraint System: Driver Air Bag; Passenger Air Bag; Front Side Air Bag; Front Head Air Bag; Rear Head Air Bag
Exterior/Interior: Gray/ Unknown
Manufactured In: Mexico
Vehicle Class: 4-door Mid-Size Passenger Car
Model: FORTE
Series: LXS","Wed Aug 9, 8:30am (CDT)","$19,604 USD","https://vis.iaai.com/resizer?imageKeys=37435854~SID~B662~S0~I1~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37435854~SID~B662~S0~I2~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37435854~SID~B662~S0~I3~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37435854~SID~B662~S0~I4~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37435854~SID~B662~S0~I5~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37435854~SID~B662~S0~I6~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37435854~SID~B662~S0~I7~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37435854~SID~B662~S0~I8~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37435854~SID~B662~S0~I9~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37435854~SID~B662~S0~I10~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37435854~SID~B662~S0~I115~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37435854~SID~B662~S0~I116~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37435854~SID~B662~S0~I117~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37435854~SID~B662~S0~I118~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37435854~SID~B662~S0~I119~RW2592~H1944~TH0&width=864&height=648",,"2021_KIA_FORTE_LXS_1.jpg, 2021_KIA_FORTE_LXS_2.jpg, 2021_KIA_FORTE_LXS_3.jpg, 2021_KIA_FORTE_LXS_4.jpg, 2021_KIA_FORTE_LXS_5.jpg, 2021_KIA_FORTE_LXS_6.jpg, 2021_KIA_FORTE_LXS_7.jpg, 2021_KIA_FORTE_LXS_8.jpg, 2021_KIA_FORTE_LXS_9.jpg, 2021_KIA_FORTE_LXS_10.jpg, 2021_KIA_FORTE_LXS_11.jpg, 2021_KIA_FORTE_LXS_12.jpg, 2021_KIA_FORTE_LXS_13.jpg, 2021_KIA_FORTE_LXS_14.jpg, 2021_KIA_FORTE_LXS_15.jpg",2021_KIA_FORTE_LXS.mp4
https://www.iaai.com/Search?url=QcS%2bxh3YwCeDU1vr3fjt1Dj1kxr2PKw62TMD4KYIpIA%3d -> (page_no 1),https://www.iaai.com/VehicleDetail/37443044~US,2019 HONDA CIVIC SEDAN SPORT,"Stock #: 36966509
Selling Branch: Columbus (OH)
VIN (Status): 2HGFC2F8XKH****** (OK)
Loss: Collision
Primary Damage: Front & Rear
Secondary Damage: Left Side
Title/Sale Doc: SALVAGE (Ohio)
Start Code: Stationary
Key: Present
Odometer: 1 mi (Not Actual)
Airbags: Deployed",,"VIN (Status):
Vehicle: Automobile
Body Style: SEDAN 4 DR.
Engine: 2.0L I-4 DOHC 16-VALVE I-VTEC
Transmission: Unknown
Drive Line Type: Front Wheel Drive
Fuel Type: Gasoline
Cylinders: 4 Cylinders
Restraint System: Driver Air Bag; Passenger Air Bag; Front Side Air Bag; Front Head Air Bag; Rear Head Air Bag
Exterior/Interior: Gray/ Unknown
Options: Console Display
Manufactured In: Canada
Vehicle Class: 4-door Mid-Size Passenger Car
Model: CIVIC SEDAN
Series: SPORT","Wed Aug 9, 8:30am (CDT)","$20,340 USD","https://vis.iaai.com/resizer?imageKeys=37443044~SID~B662~S0~I1~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37443044~SID~B662~S0~I2~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37443044~SID~B662~S0~I3~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37443044~SID~B662~S0~I4~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37443044~SID~B662~S0~I5~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37443044~SID~B662~S0~I6~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37443044~SID~B662~S0~I7~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37443044~SID~B662~S0~I8~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37443044~SID~B662~S0~I9~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37443044~SID~B662~S0~I10~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37443044~SID~B662~S0~I11~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37443044~SID~B662~S0~I115~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37443044~SID~B662~S0~I116~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37443044~SID~B662~S0~I117~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37443044~SID~B662~S0~I118~RW2592~H1944~TH0&width=864&height=648, https://vis.iaai.com/resizer?imageKeys=37443044~SID~B662~S0~I119~RW2592~H1944~TH0&width=864&height=648",,"2019_HONDA_CIVIC_SEDAN_SPORT_1.jpg, 2019_HONDA_CIVIC_SEDAN_SPORT_2.jpg, 2019_HONDA_CIVIC_SEDAN_SPORT_3.jpg, 2019_HONDA_CIVIC_SEDAN_SPORT_4.jpg, 2019_HONDA_CIVIC_SEDAN_SPORT_5.jpg, 2019_HONDA_CIVIC_SEDAN_SPORT_6.jpg, 2019_HONDA_CIVIC_SEDAN_SPORT_7.jpg, 2019_HONDA_CIVIC_SEDAN_SPORT_8.jpg, 2019_HONDA_CIVIC_SEDAN_SPORT_9.jpg, 2019_HONDA_CIVIC_SEDAN_SPORT_10.jpg, 2019_HONDA_CIVIC_SEDAN_SPORT_11.jpg, 2019_HONDA_CIVIC_SEDAN_SPORT_12.jpg, 2019_HONDA_CIVIC_SEDAN_SPORT_13.jpg, 2019_HONDA_CIVIC_SEDAN_SPORT_14.jpg, 2019_HONDA_CIVIC_SEDAN_SPORT_15.jpg, 2019_HONDA_CIVIC_SEDAN_SPORT_16.jpg",2019_HONDA_CIVIC_SEDAN_SPORT.mp4
Listing_Url,Detail_Url,Title,Stock
